TIME_PERIOD,DWA_GRP,UNIT_MEASURE,BW,FW,DEP,HW,HW_NET,TW,DEBT,TW_NET
2011-01-01,B50,EUR,10143.07,108702.62,198773.05,300403.52,50920.21000000002,618022.26,-427736.39,190285.87
2011-04-01,B50,EUR,10485.02,109678.01,197463.99,297708.53,50631.75000000003,615335.55,-428574.17000000004,186761.38
2011-07-01,B50,EUR,10831.09,109805.86,195710.66,300755.11,51154.75,617102.72,-436510.43999999994,180592.28000000003
2011-10-01,B50,EUR,11205.99,111598.67,194910.92,302331.47,50162.06999999998,620047.05,-441179.20999999996,178867.84000000008
2012-01-01,B50,EUR,11421.71,113524.28,194126.96,306498.62,52303.97999999998,625571.57,-444786.67000000004,180784.8999999999
2012-04-01,B50,EUR,11714.789999999999,114964.54000000001,192994.9,305808.53,53413.31000000003,625482.76,-446974.82999999996,178507.93000000005
2012-07-01,B50,EUR,11928.53,116504.65,191288.4,309617.19,51212.100000000006,629338.77,-452630.69,176708.08000000002
2012-10-01,B50,EUR,12081.310000000001,117610.06,189616.5,313678.75,49455.71999999997,632986.62,-457181.31000000006,175805.30999999994
2013-01-01,B50,EUR,12010.4,118923.86,187502.02,309940.1,47906.58999999997,628376.38,-451288.51,177087.86999999988
2013-04-01,B50,EUR,12275.98,119888.08,186209.28,310190.34,48666.840000000026,628563.68,-452304.36,176259.31999999995
2013-07-01,B50,EUR,12524.92,121261.55,183327.45,311932.98,47341.409999999974,629046.8999999999,-454589.26,174457.64
2013-10-01,B50,EUR,12783.11,122646.76,182383.66,313563.92,45254.75,631377.45,-456824.9,174552.54999999993
2014-01-01,B50,EUR,12967.02,122698.59,180632.85,309298.54,44533.919999999984,625597,-451024.94,174572.06
2014-04-01,B50,EUR,13370.33,124561,179227.48,310599.73,45715.919999999984,627758.5399999999,-452827.14,174931.40000000002
2014-07-01,B50,EUR,13655.740000000002,125274.45,177412.1,312027.52,43038,628369.81,-456988.85,171380.96000000008
2014-10-01,B50,EUR,13977.39,125332.18999999999,179707.28,315262.6,45812.419999999984,634279.46,-455551.93,178727.52999999997
2015-01-01,B50,EUR,14468.51,126228.67,181191.53,314764.06,51422.130000000005,636652.77,-449732.87,186919.90000000002
2015-04-01,B50,EUR,14891.48,126404.20999999999,184767.66,313393.87,53579.25,639457.22,-445455.33999999997,194001.88
2015-07-01,B50,EUR,15092.859999999999,125787.52,184982.61,314179.8,53853.47999999998,640042.79,-446330.33999999997,193712.45000000007
2015-10-01,B50,EUR,15527.23,126746.59,187524.99,315332.67,56247.879999999976,645131.48,-443857.68000000005,201273.79999999993
2016-01-01,B50,EUR,15734.1,126923.7,188603.68,312867.81,59166.57000000001,644129.29,-438957.67,205171.62000000005
2016-04-01,B50,EUR,16126.539999999999,127219.52,191001.16,315413.58,63390.41,649760.8,-438971.83,210788.97000000003
2016-07-01,B50,EUR,16364.449999999999,127961.04000000001,192645.72,316658.42,64679.69999999998,653629.63,-439418.89,214210.74
2016-10-01,B50,EUR,16656.56,130155.58,197209.17,316792.23,66134.63999999998,660813.54,-438070.82999999996,222742.71000000008
2017-01-01,B50,EUR,17132.7,129380.6,199013.5,316388.03,69087.59000000003,661914.8300000001,-435196.77,226718.06000000006
2017-04-01,B50,EUR,17893.61,129841.48000000001,200781.45,318129.51,72814.11000000002,666646.05,-433887.36,232758.69000000006
2017-07-01,B50,EUR,17777.55,131785.53,205736.73,321228.62,71811.04999999999,676528.4299999999,-438649.01,237879.41999999993
2017-10-01,B50,EUR,18512.199999999997,134416.38999999998,212701.5,322675.49,71432.45999999999,688305.58,-441899.07999999996,246406.5
2018-01-01,B50,EUR,18921.68,135336.65,217469.77,318311.05,74191.15,690039.15,-436359.91000000003,253679.23999999987
2018-04-01,B50,EUR,19232.71,136737.15,223960.3,319759.78,74090.06000000003,699689.94,-436468.89,263221.04999999993
2018-07-01,B50,EUR,19313.68,137782.83000000002,229788.14,321514.46,75030.22000000003,708399.1100000001,-440475.52,267923.5900000001
2018-10-01,B50,EUR,19552.34,139199.32,236204.96,323644.3,74502.60999999999,718600.9199999999,-446720,271880.9199999999
2019-01-01,B50,EUR,20715.489999999998,143191.32,242488.59,330535.3,76466.84999999998,736930.7,-456001.11,280929.58999999997
2019-04-01,B50,EUR,21380.89,147794.29,249742.73,334548.88,79357.32,753466.79,-460437.35,293029.44000000006
2019-07-01,B50,EUR,21971.49,151861.21,255433.98,341465.37,81619.76000000001,770732.0499999999,-467873.08999999997,302858.9600000001
2019-10-01,B50,EUR,22444.86,152178.93,262310.54,336069.72,79053.43999999997,773004.0499999999,-462486.77,310517.2799999999
2020-01-01,B50,EUR,19961.04,149617.07,267320.2,339688.59,79073.81000000003,776586.9000000001,-466986.67000000004,309600.2300000001
2020-04-01,B50,EUR,21948.22,154564.4,276322.42,344498.6,78996.01999999996,797333.6399999999,-470956.80000000005,326376.83999999985
2020-07-01,B50,EUR,22697.949999999997,157635.09,282569.5,352168.72,80687.27999999997,815071.26,-478954.74,336116.52
2020-10-01,B50,EUR,22129.84,161763.6,293166.24,363592.23,83602.68,840651.9099999999,-488674.54,351977.36999999994
2021-01-01,B50,EUR,20064.66,161107.25,301416.64,374098.85,85882.32999999996,856687.4,-499163.46,357523.94
2021-04-01,B50,EUR,20515.79,163881.01,311056.99,383486.59,90291.54000000004,878940.38,-506206.91,372733.47000000015
2021-07-01,B50,EUR,20882.489999999998,167534.72999999998,314796.04,384339.67,92531.26999999996,887552.9299999999,-506358.74,381194.18999999994
2021-10-01,B50,EUR,21111.73,169969.46999999997,317020.58,392097.6,95573.85999999999,900199.3799999999,-509414.94999999995,390784.43000000005
2022-01-01,B50,EUR,21177.25,162853.43,317605.22,391463.14,96836.60000000003,893099.04,-500087.19999999995,393011.8400000001
2022-04-01,B50,EUR,22119.690000000002,154296.02,324765.25,367913.17,95283.28999999998,869094.13,-476072.87,393021.2599999999
2022-07-01,B50,EUR,21728.65,151253.55,327781.28,360488.45,95398.94,861251.93,-468015.30000000005,393236.6299999999
2022-10-01,B50,EUR,22472.940000000002,153442.04,330083.75,365486.22,94349.46999999997,871484.95,-473313.88,398171.06999999995
2023-01-01,B50,EUR,22121.379999999997,155330.94,330001.93,362873.58,91159.72000000003,870327.8300000001,-467699.37,402628.4600000001
2023-04-01,B50,EUR,22488.92,157529.78999999998,332665.52,359078.26,91938.83000000002,871762.49,-461211.88,410550.61
2023-07-01,B50,EUR,22714.33,155347.6,334945.33,352438.07,87330.51000000001,865445.3300000001,-455747.41000000003,409697.92000000004
2023-10-01,B50,EUR,22967.3,161607.29,344177.53,357997.02,91589.47000000003,886749.14,-454424.04,432325.10000000003
2024-01-01,B50,EUR,22995.800000000003,163655.47,347595.96,363266.54,94192.19999999995,897513.77,-456663.09,440850.68
2024-04-01,B50,EUR,23079.98,168135.37,351267.04,363376.79,95175.60999999999,905859.1799999999,-453479.89,452379.2899999999
2024-07-01,B50,EUR,23361.81,168793.79,357199.04,369033.14,98899.91000000003,918387.78,-456184.31999999995,462203.4600000001
2011-01-01,B50,EUR_R_NH,0.51,5.4799999999999995,10.02,15.14,2.5700000000000003,31.15,-21.55,9.599999999999998
2011-04-01,B50,EUR_R_NH,0.53,5.53,9.94,14.99,2.5500000000000007,30.990000000000002,-21.58,9.410000000000004
2011-07-01,B50,EUR_R_NH,0.54,5.53,9.85,15.14,2.58,31.060000000000002,-21.97,9.090000000000003
2011-10-01,B50,EUR_R_NH,0.56,5.61,9.8,15.2,2.5199999999999996,31.169999999999998,-22.18,8.990000000000002
2012-01-01,B50,EUR_R_NH,0.5700000000000001,5.7,9.75,15.39,2.630000000000001,31.41,-22.33,9.080000000000002
2012-04-01,B50,EUR_R_NH,0.5900000000000001,5.78,9.69,15.35,2.6799999999999997,31.409999999999997,-22.439999999999998,8.969999999999999
2012-07-01,B50,EUR_R_NH,0.6000000000000001,5.84,9.59,15.52,2.5599999999999987,31.55,-22.700000000000003,8.849999999999998
2012-10-01,B50,EUR_R_NH,0.6100000000000001,5.9,9.5,15.72,2.4800000000000004,31.73,-22.91,8.820000000000004
2013-01-01,B50,EUR_R_NH,0.6000000000000001,5.96,9.39,15.52,2.4000000000000004,31.47,-22.6,8.869999999999997
2013-04-01,B50,EUR_R_NH,0.6100000000000001,6,9.31,15.52,2.4399999999999995,31.439999999999998,-22.619999999999997,8.820000000000004
2013-07-01,B50,EUR_R_NH,0.6299999999999999,6.0600000000000005,9.16,15.58,2.3599999999999994,31.43,-22.71,8.719999999999999
2013-10-01,B50,EUR_R_NH,0.6399999999999999,6.13,9.1,15.65,2.26,31.520000000000003,-22.8,8.719999999999999
2014-01-01,B50,EUR_R_NH,0.6399999999999999,6.12,9.01,15.42,2.2200000000000006,31.189999999999998,-22.49,8.7
2014-04-01,B50,EUR_R_NH,0.6599999999999999,6.210000000000001,8.93,15.48,2.280000000000001,31.28,-22.57,8.71
2014-07-01,B50,EUR_R_NH,0.6799999999999999,6.24,8.84,15.54,2.139999999999999,31.3,-22.759999999999998,8.54
2014-10-01,B50,EUR_R_NH,0.7,6.23,8.94,15.68,2.2799999999999994,31.549999999999997,-22.65,8.900000000000002
2015-01-01,B50,EUR_R_NH,0.72,6.260000000000001,9,15.63,2.5500000000000007,31.61,-22.34,9.27
2015-04-01,B50,EUR_R_NH,0.73,6.26,9.16,15.53,2.66,31.68,-22.07,9.61
2015-07-01,B50,EUR_R_NH,0.74,6.23,9.16,15.55,2.66,31.680000000000003,-22.1,9.580000000000002
2015-10-01,B50,EUR_R_NH,0.7699999999999999,6.2700000000000005,9.27,15.59,2.7799999999999994,31.9,-21.94,9.959999999999997
2016-01-01,B50,EUR_R_NH,0.7799999999999999,6.27,9.31,15.45,2.92,31.810000000000002,-21.68,10.129999999999999
2016-04-01,B50,EUR_R_NH,0.7999999999999999,6.27,9.41,15.55,3.130000000000001,32.03,-21.630000000000003,10.399999999999999
2016-07-01,B50,EUR_R_NH,0.8099999999999999,6.3,9.48,15.59,3.1899999999999995,32.18,-21.630000000000003,10.549999999999997
2016-10-01,B50,EUR_R_NH,0.82,6.3999999999999995,9.69,15.56,3.25,32.47,-21.520000000000003,10.949999999999996
2017-01-01,B50,EUR_R_NH,0.84,6.35,9.77,15.53,3.389999999999999,32.489999999999995,-21.36,11.130000000000003
2017-04-01,B50,EUR_R_NH,0.88,6.37,9.84,15.6,3.5700000000000003,32.69,-21.28,11.409999999999997
2017-07-01,B50,EUR_R_NH,0.87,6.449999999999999,10.07,15.72,3.51,33.11,-21.47,11.64
2017-10-01,B50,EUR_R_NH,0.9,6.57,10.39,15.77,3.49,33.63,-21.6,12.029999999999994
2018-01-01,B50,EUR_R_NH,0.9199999999999999,6.6,10.62,15.54,3.619999999999999,33.68,-21.3,12.379999999999999
2018-04-01,B50,EUR_R_NH,0.9299999999999999,6.66,10.92,15.59,3.6099999999999994,34.1,-21.28,12.819999999999993
2018-07-01,B50,EUR_R_NH,0.94,6.71,11.19,15.66,3.66,34.5,-21.45,13.05
2018-10-01,B50,EUR_R_NH,0.9500000000000001,6.7700000000000005,11.49,15.74,3.630000000000001,34.95,-21.72,13.230000000000004
2019-01-01,B50,EUR_R_NH,1.01,6.949999999999999,11.77,16.05,3.710000000000001,35.78,-22.14,13.64
2019-04-01,B50,EUR_R_NH,1.04,7.16,12.11,16.23,3.8499999999999996,36.54,-22.340000000000003,14.199999999999996
2019-07-01,B50,EUR_R_NH,1.07,7.36,12.38,16.54,3.9499999999999993,37.35,-22.67,14.68
2019-10-01,B50,EUR_R_NH,1.09,7.36,12.7,16.27,3.83,37.42,-22.39,15.030000000000001
2020-01-01,B50,EUR_R_NH,0.97,7.23,12.92,16.42,3.820000000000002,37.540000000000006,-22.58,14.960000000000008
2020-04-01,B50,EUR_R_NH,1.06,7.46,13.34,16.63,3.8099999999999987,38.489999999999995,-22.740000000000002,15.749999999999993
2020-07-01,B50,EUR_R_NH,1.0899999999999999,7.59,13.62,16.97,3.889999999999999,39.269999999999996,-23.08,16.189999999999998
2020-10-01,B50,EUR_R_NH,1.06,7.789999999999999,14.11,17.49,4.019999999999998,40.449999999999996,-23.509999999999998,16.940000000000005
2021-01-01,B50,EUR_R_NH,0.96,7.75,14.49,17.99,4.129999999999999,41.19,-24,17.189999999999998
2021-04-01,B50,EUR_R_NH,0.99,7.87,14.93,18.41,4.34,42.2,-24.29,17.910000000000004
2021-07-01,B50,EUR_R_NH,1,8.03,15.1,18.44,4.440000000000001,42.57,-24.29,18.28
2021-10-01,B50,EUR_R_NH,1.01,8.17,15.21,18.81,4.579999999999998,43.2,-24.44,18.76
2022-01-01,B50,EUR_R_NH,1.02,7.81,15.24,18.78,4.65,42.85,-23.990000000000002,18.86
2022-04-01,B50,EUR_R_NH,1.07,7.41,15.58,17.65,4.5699999999999985,41.71,-22.84,18.87
2022-07-01,B50,EUR_R_NH,1.05,7.26,15.73,17.3,4.58,41.34,-22.46,18.880000000000003
2022-10-01,B50,EUR_R_NH,1.08,7.36,15.84,17.53,4.520000000000001,41.81,-22.71,19.1
2023-01-01,B50,EUR_R_NH,1.07,7.45,15.83,17.41,4.380000000000001,41.76,-22.43,19.330000000000005
2023-04-01,B50,EUR_R_NH,1.08,7.55,15.96,17.22,4.409999999999998,41.81,-22.12,19.69
2023-07-01,B50,EUR_R_NH,1.0899999999999999,7.45,16.07,16.91,4.1899999999999995,41.519999999999996,-21.87,19.649999999999995
2023-10-01,B50,EUR_R_NH,1.1,7.739999999999999,16.5,17.16,4.390000000000001,42.5,-21.78,20.72
2024-01-01,B50,EUR_R_NH,1.1,7.84,16.66,17.41,4.51,43.010000000000005,-21.89,21.120000000000005
2024-04-01,B50,EUR_R_NH,1.1099999999999999,8.07,16.85,17.43,4.5600000000000005,43.46,-21.759999999999998,21.700000000000003
2024-07-01,B50,EUR_R_NH,1.12,8.1,17.13,17.7,4.739999999999998,44.05,-21.880000000000003,22.169999999999995
2011-01-01,B50,EUR_R_POP,0.27,2.9,5.3,8.01,1.3599999999999994,16.48,-11.4,5.0799999999999965
2011-04-01,B50,EUR_R_POP,0.27999999999999997,2.92,5.27,7.94,1.3500000000000005,16.41,-11.43,4.98
2011-07-01,B50,EUR_R_POP,0.29,2.9299999999999997,5.21,8.01,1.3599999999999994,16.44,-11.63,4.809999999999997
2011-10-01,B50,EUR_R_POP,0.3,2.9699999999999998,5.18,8.04,1.3299999999999992,16.49,-11.74,4.749999999999998
2012-01-01,B50,EUR_R_POP,0.31,3.01,5.15,8.14,1.3900000000000006,16.61,-11.809999999999999,4.800000000000001
2012-04-01,B50,EUR_R_POP,0.31,3.0500000000000003,5.12,8.11,1.419999999999999,16.59,-11.850000000000001,4.739999999999998
2012-07-01,B50,EUR_R_POP,0.32,3.08,5.06,8.19,1.3499999999999996,16.65,-11.98,4.669999999999998
2012-10-01,B50,EUR_R_POP,0.32,3.0999999999999996,5.01,8.29,1.3099999999999987,16.72,-12.08,4.639999999999999
2013-01-01,B50,EUR_R_POP,0.31000000000000005,3.1399999999999997,4.95,8.18,1.2699999999999996,16.58,-11.9,4.679999999999998
2013-04-01,B50,EUR_R_POP,0.31999999999999995,3.1599999999999997,4.91,8.17,1.2800000000000002,16.56,-11.92,4.640000000000002
2013-07-01,B50,EUR_R_POP,0.32999999999999996,3.19,4.82,8.2,1.2399999999999993,16.54,-11.95,4.59
2013-10-01,B50,EUR_R_POP,0.32999999999999996,3.21,4.78,8.22,1.1800000000000006,16.540000000000003,-11.98,4.559999999999999
2014-01-01,B50,EUR_R_POP,0.33999999999999997,3.21,4.73,8.09,1.1600000000000001,16.37,-11.8,4.57
2014-04-01,B50,EUR_R_POP,0.35,3.25,4.68,8.12,1.1999999999999993,16.4,-11.83,4.5699999999999985
2014-07-01,B50,EUR_R_POP,0.35,3.2800000000000002,4.63,8.14,1.120000000000001,16.400000000000002,-11.93,4.469999999999999
2014-10-01,B50,EUR_R_POP,0.37,3.25,4.68,8.22,1.200000000000001,16.52,-11.87,4.650000000000004
2015-01-01,B50,EUR_R_POP,0.38,3.28,4.72,8.2,1.339999999999999,16.58,-11.72,4.859999999999998
2015-04-01,B50,EUR_R_POP,0.38999999999999996,3.28,4.81,8.15,1.3900000000000006,16.63,-11.59,5.040000000000003
2015-07-01,B50,EUR_R_POP,0.38999999999999996,3.27,4.81,8.17,1.4000000000000004,16.64,-11.61,5.030000000000001
2015-10-01,B50,EUR_R_POP,0.39999999999999997,3.29,4.87,8.2,1.4699999999999989,16.759999999999998,-11.530000000000001,5.229999999999997
2016-01-01,B50,EUR_R_POP,0.41,3.3,4.9,8.13,1.540000000000001,16.740000000000002,-11.399999999999999,5.340000000000003
2016-04-01,B50,EUR_R_POP,0.42,3.3,4.96,8.19,1.6399999999999997,16.87,-11.41,5.459999999999997
2016-07-01,B50,EUR_R_POP,0.42,3.3200000000000003,5,8.22,1.6800000000000006,16.96,-11.41,5.550000000000001
2016-10-01,B50,EUR_R_POP,0.44,3.37,5.12,8.22,1.7100000000000009,17.150000000000002,-11.370000000000001,5.779999999999998
2017-01-01,B50,EUR_R_POP,0.45,3.36,5.17,8.22,1.8000000000000007,17.200000000000003,-11.3,5.900000000000002
2017-04-01,B50,EUR_R_POP,0.45999999999999996,3.38,5.22,8.27,1.8999999999999995,17.33,-11.27,6.059999999999999
2017-07-01,B50,EUR_R_POP,0.46,3.42,5.33,8.33,1.87,17.54,-11.370000000000001,6.169999999999998
2017-10-01,B50,EUR_R_POP,0.48,3.49,5.51,8.36,1.8499999999999996,17.84,-11.45,6.390000000000001
2018-01-01,B50,EUR_R_POP,0.49,3.5,5.63,8.24,1.92,17.86,-11.3,6.559999999999999
2018-04-01,B50,EUR_R_POP,0.49,3.5300000000000002,5.79,8.27,1.9099999999999993,18.08,-11.3,6.779999999999998
2018-07-01,B50,EUR_R_POP,0.5,3.5599999999999996,5.94,8.31,1.9400000000000004,18.310000000000002,-11.379999999999999,6.930000000000003
2018-10-01,B50,EUR_R_POP,0.51,3.59,6.09,8.35,1.92,18.54,-11.53,7.01
