REF_AREA,TIME_PERIOD,HP_R_N,Stock_Price
AT,2000-01-01,98.2843,5049.023446153846
AT,2000-04-01,95.9464,5200.817430769231
AT,2000-07-01,93.7325,5170.315584615383
AT,2000-10-01,92.7328,4882.476461538462
AT,2001-01-01,96.5591,4487.398169230768
AT,2001-04-01,91.484,4363.485938461537
AT,2001-07-01,95.009,3749.5165076923063
AT,2001-10-01,90.8217,3604.78306060606
AT,2002-01-01,93.2916,3660.2213593749993
AT,2002-04-01,91.0112,3445.095476923077
AT,2002-07-01,93.9752,2658.2127727272723
AT,2002-10-01,91.094,2470.9460909090913
AT,2003-01-01,92.167,2217.393828125
AT,2003-04-01,91.1409,2339.9810461538455
AT,2003-07-01,89.9534,2511.453151515152
AT,2003-10-01,92.1174,2614.337075757576
AT,2004-01-01,84.6086,2846.5095538461537
AT,2004-04-01,88.3345,2794.8779384615386
AT,2004-07-01,88.4584,2708.6510606060606
AT,2004-10-01,89.631,2869.6852575757584
AT,2005-01-01,89.3076,3025.2921874999997
AT,2005-04-01,89.8172,3063.7183384615387
AT,2005-07-01,89.7071,3307.970303030303
AT,2005-10-01,91.4958,3433.0800923076913
AT,2006-01-01,92.3222,3729.413153846153
AT,2006-04-01,92.29,3692.9221692307706
AT,2006-07-01,92.8029,3726.796338461538
AT,2006-10-01,92.3455,4032.4233692307703
AT,2007-01-01,94.5217,4150.5138
AT,2007-04-01,95.3553,4416.171692307692
AT,2007-07-01,95.8558,4317.561323076923
AT,2007-10-01,93.1447,4377.900212121213
AT,2008-01-01,93.1411,3809.3891692307698
AT,2008-04-01,91.1346,3705.592446153847
AT,2008-07-01,92.6293,3278.756969696969
AT,2008-10-01,94.1003,2497.6646363636364
AT,2009-01-01,96.2574,2166.4328750000004
AT,2009-04-01,96.1098,2376.564630769231
AT,2009-07-01,95.5889,2660.5825606060607
AT,2009-10-01,95.5617,2872.7397692307686
AT,2010-01-01,100.2528,2848.9657460317458
AT,2010-04-01,99.5266,2735.6698888888886
AT,2010-07-01,99.764,2715.9393787878794
AT,2010-10-01,100.4564,2817.7639848484837
AT,2011-01-01,101.977,2932.9304218750012
AT,2011-04-01,97.6315,2862.6709841269844
AT,2011-07-01,102.1472,2381.5675606060613
AT,2011-10-01,102.0126,2277.785109375
AT,2012-01-01,110.0836,2473.639892307692
AT,2012-04-01,110.347,2226.1589365079367
AT,2012-07-01,111.6216,2400.9411076923084
AT,2012-10-01,110.6542,2543.327062499999
AT,2013-01-01,112.5841,2676.5842741935485
AT,2013-04-01,113.4456,2696.1122187499996
AT,2013-07-01,114.8091,2782.28146969697
AT,2013-10-01,113.388,3017.5604843749998
AT,2014-01-01,115.399,3090.848412698413
AT,2014-04-01,116.8706,3213.9506507936503
AT,2014-07-01,115.6509,3173.144727272728
AT,2014-10-01,114.5364,3102.474875
AT,2015-01-01,118.4722,3441.982174603174
AT,2015-04-01,117.3504,3621.1146190476197
AT,2015-07-01,119.2214,3386.5137121212115
AT,2015-10-01,122.3019,3332.9457692307687
AT,2016-01-01,126.8194,2973.939112903226
AT,2016-04-01,127.7919,2974.3690153846155
AT,2016-07-01,126.9887,2975.7976060606065
AT,2016-10-01,126.212,3090.9747656249983
AT,2017-01-01,127.2065,3342.4348307692308
AT,2017-04-01,129.9271,3551.5675714285717
AT,2017-07-01,129.8126,3479.880061538461
AT,2017-10-01,129.258,3594.989507936509
AT,2018-01-01,134.0595,3473.9999841269832
AT,2018-04-01,133.7194,3481.3044375
AT,2018-07-01,137.226,3422.939846153847
AT,2018-10-01,135.9873,3169.1323281250006
AT,2019-01-01,138.2831,3212.726603174604
AT,2019-04-01,138.8249,3415.2197460317457
AT,2019-07-01,138.4329,3459.1172727272724
AT,2019-10-01,138.3018,3649.074359375
AT,2020-01-01,140.3019,3429.8705781250005
AT,2020-04-01,144.5156,3001.745603174604
AT,2020-07-01,149.2834,3291.8463181818183
AT,2020-10-01,150.1851,3367.3397384615373
AT,2021-01-01,155.5367,3696.7189841269847
AT,2021-04-01,157.55,4034.1099999999983
AT,2021-07-01,159.8272,4132.639499999999
AT,2021-10-01,162.4088,4216.628727272727
AT,2022-01-01,165.1219,4035.977671875001
AT,2022-04-01,165.2386,3699.3059682539683
AT,2022-07-01,161.2757,3566.2048636363647
AT,2022-10-01,154.5522,3731.4571718749994
AT,2023-01-01,151.1036,4176.021769230769
AT,2023-04-01,148.3815,4332.23557142857
AT,2023-07-01,146.6119,4296.212799999999
AT,2023-10-01,143.1445,4285.732126984125
AT,2024-01-01,141.153,4743.756365079365
AT,2024-04-01,140.1204,4986.99890625
AT,2024-07-01,140.0215,4860.355515151513
AT,2024-10-01,138.9332,4888.720671875
AT,2025-01-01,137.3711,NA
BE,2000-01-01,66.7303,5049.023446153846
BE,2000-04-01,66.4127,5200.817430769231
BE,2000-07-01,66.8442,5170.315584615383
BE,2000-10-01,67.4507,4882.476461538462
BE,2001-01-01,68.3166,4487.398169230768
BE,2001-04-01,67.8228,4363.485938461537
BE,2001-07-01,68.7814,3749.5165076923063
BE,2001-10-01,68.6908,3604.78306060606
BE,2002-01-01,69.7482,3660.2213593749993
BE,2002-04-01,70.8455,3445.095476923077
BE,2002-07-01,72.4755,2658.2127727272723
BE,2002-10-01,73.334,2470.9460909090913
BE,2003-01-01,73.7269,2217.393828125
BE,2003-04-01,74.3877,2339.9810461538455
BE,2003-07-01,75.9785,2511.453151515152
BE,2003-10-01,77.2544,2614.337075757576
BE,2004-01-01,78.8499,2846.5095538461537
BE,2004-04-01,78.465,2794.8779384615386
BE,2004-07-01,80.9843,2708.6510606060606
BE,2004-10-01,82.4761,2869.6852575757584
BE,2005-01-01,85.6401,3025.2921874999997
BE,2005-04-01,86.6113,3063.7183384615387
BE,2005-07-01,88.8244,3307.970303030303
BE,2005-10-01,90.7473,3433.0800923076913
