REF_AREA,TIME_PERIOD,B50,D06,D07,D08,D09,D10,ALL,B50_share,M40_share,T10_share,B50_share_change,M40_share_change,T10_share_change,HP_R_N,Stock_Price,HP_R_Change,STOCK_Change,owner_ALL
AT,2010-10-01,23419.439999999995,37431.259999999995,61413.93000000001,90600.58,145056.79,599183.21,957105.21,0.024469034078291138,0.34949403315859084,0.626036932763118,NA,NA,NA,100.4564,2817.7639848484837,0.006916405722629193,0.036805767840368375,47.61
AT,2011-01-01,25059,38664.969999999994,63010.79000000001,93244.65,147042.41999999998,609135.03,976156.86,0.025671079133736764,0.3503154503262928,0.6240134705399705,0.047956629746992,0.002347546194559902,-0.0032374118437119015,101.977,2932.9304218750012,0.015023495139923959,0.040058409949045526,47.61
AT,2011-04-01,23920.90999999999,37858.399999999994,62136.65,91710.79,144881.51,600449.99,960958.25,0.02489276719357994,0.35026219921625107,0.624845033590169,-0.030787745589978766,-1.5202057952912185e-4,0.0013317171966951702,97.6315,2862.6709841269844,-0.04354711041202464,-0.02424696766029566,47.61
AT,2011-07-01,25455.22,39285.509999999995,64307.62,95439.31,148918.98,608838.5499999999,982245.19,0.02591534197281231,0.35424089987144664,0.6198437581557411,0.04025786037419632,0.011295175169002691,-0.008036229430475994,102.1472,2381.5675606060613,0.04521472296793849,-0.18399618975647503,47.61
AT,2011-10-01,26026.89999999999,39798.62,64961.41,96350.61,149458.22,613315.94,989911.7,0.026292143026494172,0.3541415461601272,0.6195663108133785,0.014435002815349485,-2.8050867868767426e-4,-4.477087187579887e-4,102.0126,2277.785109375,-0.0013185751504627419,-0.04455538223311617,47.61
AT,2012-01-01,28885.560000000005,42191.05,69025.1,101791,157000.98,639914.3899999999,1038808.08,0.027806445248288795,0.3561852637880907,0.6160082909636204,0.055997686977670824,0.005754318262147562,-0.0057593117882129286,110.0836,2473.639892307692,0.07614374207175167,0.08248717895455027,47.61
AT,2012-04-01,29401.89999999999,42513.18000000001,69288.89,102377.1,156877.96,639973.5700000001,1040432.6000000001,0.02825930290919372,0.35663735450042605,0.6151033425903802,0.01615487261441606,0.0012684523789032731,-0.0014701323772169372,110.347,2226.1589365079367,0.0023898689688888197,-0.105413056154533,47.61
AT,2012-07-01,29488.28000000001,42538.2,69263.84999999999,102562.18,156412.53999999998,641444.01,1041709.06,0.028307596748750566,0.3559312136538391,0.6157611895974102,0.0017074950751205797,-0.00198195965777459,0.0010689187192647331,111.6216,2400.9411076923084,0.011484633498687558,0.07558313834387587,47.61
AT,2012-10-01,29746.890000000007,42403.75,69178.91,101999.43,154909.28999999998,641202.3,1039440.5700000001,0.028618172946626476,0.35450932995620904,0.6168724970971645,0.010911728769449791,-0.004002827848002211,0.001803143647382155,110.6542,2543.327062499999,-0.008704556305821676,0.05761230233202941,47.61
AT,2013-01-01,31002.490000000005,43403.06,70448.23,104312.71,157265.11000000002,649313.4700000001,1055745.07,0.029365507716744538,0.35560583768579657,0.6150286545974589,0.025778844937546008,0.003088255683109775,-0.0029934932263982472,112.5841,2676.5842741935485,0.017290474619139573,0.051068366042034796,47.61
AT,2013-04-01,31857.300000000003,43950.2,71735.62000000001,106060.28,158797.18,651478.84,1063879.42,0.029944464946976796,0.35769399505819943,0.6123615399948239,0.019523719013072593,0.005854938531498544,-0.004345999849696802,113.4456,2696.1122187499996,0.007622928949082564,0.007269359278308407,47.61
AT,2013-07-01,32394.99,44579.2,72631.72,107281.21,160339.14,656636.62,1073862.88,0.03016678442223462,0.3583616466936636,0.6114715688841019,0.0073969678313630105,0.001864804325290459,-0.0014543997235297312,114.8091,2782.28146969697,0.011947322167948471,0.03146044733859288,47.61
AT,2013-10-01,33142.909999999996,44819.22,72904.79,107629.59,160325.2,670324.81,1089146.52,0.030430166549125084,0.3541110336559676,0.6154587997949074,0.008692971552727524,-0.011932144451131554,0.006499545612358271,113.388,3017.560484375,-0.012455183448094154,0.08117745463273618,47.61
