REF_AREA,beta1,beta2,R2,s1,s2
AT,-0.07780289935350021,0.012780576666573461,0.2144320697089648,**,
BE,-0.10107892601553739,0.01435976005045115,0.13610218813320418,.,
CY,0.032049794649090683,-0.00504013809605533,0.01602912364725604,,
DE,-0.09525761077252846,0.012343639002760549,0.09029963357801853,,
EE,-0.13659426416815898,-0.009851207583697954,0.19579404503041187,*,
ES,-0.19804095771553507,0.02893790421783996,0.4906257436411751,***,*
FI,-0.05322746430690021,0.021379527856266112,0.13816903219108587,,*
FR,-0.13449110638728926,0.03247506063678789,0.3656777329119217,**,**
GR,-0.03726390231296384,0.03409065500391651,0.13705879475374907,,*
HR,-0.09045929659132111,-0.010250604147881277,0.04384358455922634,,
HU,-0.1117683197334839,0.010686844944083824,0.06911840652226384,,
I9,-0.08350508961015947,0.018712215460055425,0.3006892831272233,*,**
IE,-0.10680552895805365,0.0267749175664114,0.07187999394382595,,
IT,-0.06938287913473089,0.04953885233749285,0.29786612302552373,,**
LT,0.035553763673828856,-0.03213809441285323,0.1394295924951282,,
LU,-0.057737885084144416,0.006452785157404575,0.1107938457648371,.,
LV,0.09530538129910769,-0.01328657018203087,0.24634517366061232,.,
MT,-0.05052179668658159,0.019051537752334875,0.04225482122281255,,
NL,0.18883425434969314,0.04556803443403774,0.3325301907861753,.,**
PT,-0.07175077227341661,0.02344110726772371,0.16541842592799397,*,*
SI,-0.1388872060685067,0.007636969482982634,0.290644653006791,***,
SK,0.009557377604455207,0.012736767196006244,0.011244942101636138,,
