TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2010-10-01,0.857677264126333,1.875753961678216,BW,AT
2011-01-01,0.8578568586291074,1.8777017866189376,BW,AT
2011-04-01,0.858012197472052,1.8804977477990708,BW,AT
2011-07-01,0.8577729815884774,1.8781825290232972,BW,AT
2011-10-01,0.8584322661796326,1.882665322129701,BW,AT
2012-01-01,0.8598013215865749,1.8868143556863815,BW,AT
2012-04-01,0.8600365790359641,1.8917240394681525,BW,AT
2012-07-01,0.8606571742150251,1.8968828963311446,BW,AT
2012-10-01,0.8615916802065783,1.9063208229573265,BW,AT
2013-01-01,0.8619320736371003,1.9077572680669665,BW,AT
2013-04-01,0.8620898421221364,1.908305761575987,BW,AT
2013-07-01,0.862428744693364,1.9105552600930353,BW,AT
2013-10-01,0.8646060228911588,1.9280871926453065,BW,AT
2014-01-01,0.8647918475691938,1.929607925804487,BW,AT
2014-04-01,0.8659023641168999,1.9376221497818877,BW,AT
2014-07-01,0.8661156055185177,1.939433602499936,BW,AT
2014-10-01,0.8671994220470973,1.9495833217592136,BW,AT
2015-01-01,0.8661935489631911,1.9431998047202168,BW,AT
2015-04-01,0.8670815727597012,1.950260923468475,BW,AT
2015-07-01,0.8672387001824459,1.9514872523653704,BW,AT
2015-10-01,0.8685236958195108,1.95946882972287,BW,AT
2016-01-01,0.8690956567373591,1.9674640715096197,BW,AT
2016-04-01,0.869270494994403,1.9684201743681464,BW,AT
2016-07-01,0.8693671043815638,1.9712848875615754,BW,AT
2016-10-01,0.8701039245931822,1.9803890877208281,BW,AT
2017-01-01,0.871017106782336,1.9886319504063505,BW,AT
2017-04-01,0.8707766799597962,1.9855137782015206,BW,AT
2017-07-01,0.8712346079480213,1.9890842161332551,BW,AT
2017-10-01,0.8729937995748508,2.001743244310179,BW,AT
2018-01-01,0.872739543759371,2.000067201212059,BW,AT
2018-04-01,0.8727193127870694,1.9978938710507106,BW,AT
2018-07-01,0.8725788583754159,1.996232975429039,BW,AT
2018-10-01,0.8732770253344669,2.0009062754700095,BW,AT
2019-01-01,0.8731725640495298,1.999552740243657,BW,AT
2019-04-01,0.8730738406792428,1.9957854640489496,BW,AT
2019-07-01,0.872780061981303,1.992979698161817,BW,AT
2019-10-01,0.8723005001767605,1.989451993821763,BW,AT
2020-01-01,0.8723395542984432,1.9897968624604396,BW,AT
2020-04-01,0.8724491436708093,1.98986756582495,BW,AT
2020-07-01,0.872263842648701,1.9887255078484465,BW,AT
2020-10-01,0.8739448881192343,1.9999489662562342,BW,AT
2021-01-01,0.8738320448775094,1.9970075716078763,BW,AT
2021-04-01,0.8739972942137948,1.9985677484560245,BW,AT
2021-07-01,0.873883583202181,1.9962374623474022,BW,AT
2021-10-01,0.8748426755971375,2.003889332150115,BW,AT
2022-01-01,0.8747083127737644,2.003666707242147,BW,AT
2022-04-01,0.8736600028013412,1.9970657330783235,BW,AT
2022-07-01,0.8740247417345938,1.9978981195133005,BW,AT
2022-10-01,0.8745482262161954,2.000871676619085,BW,AT
2023-01-01,0.8748872900336262,2.0032091025584053,BW,AT
2023-04-01,0.8749026791814543,2.002924249795505,BW,AT
2023-07-01,0.874964265188094,2.0039084799638838,BW,AT
2023-10-01,0.8753060431815638,2.005484347340289,BW,AT
2024-01-01,0.8752395370779067,2.0046345046791862,BW,AT
2024-04-01,0.8753922515926088,2.0072137632018165,BW,AT
2024-07-01,0.8755646445025023,2.0065625935241354,BW,AT
2010-07-01,0.8678769198847323,1.945966841638303,BW,BE
2010-10-01,0.8685335179453917,1.9577988368033195,BW,BE
2011-01-01,0.8672762114314776,1.9492829478463853,BW,BE
2011-04-01,0.8662505630847224,1.943829116871856,BW,BE
2011-07-01,0.8652466704005474,1.9373346809731773,BW,BE
2011-10-01,0.8648344155795681,1.9360737692493726,BW,BE
2012-01-01,0.8641264833069898,1.9314887228902013,BW,BE
2012-04-01,0.8633388945380708,1.926366881123888,BW,BE
2012-07-01,0.862564486776409,1.9207650090403698,BW,BE
2012-10-01,0.8620805542242317,1.919205517293111,BW,BE
2013-01-01,0.8620274518902068,1.9206255213572125,BW,BE
2013-04-01,0.8609476388371697,1.915028981943203,BW,BE
2013-07-01,0.8600175633001056,1.9099435518397003,BW,BE
2013-10-01,0.8595555472226275,1.908019245355747,BW,BE
2014-01-01,0.8584171118083443,1.9012655982527742,BW,BE
2014-04-01,0.8577872564352531,1.8989305358022373,BW,BE
2014-07-01,0.8564268061418705,1.8915647841497267,BW,BE
2014-10-01,0.8578912883003917,1.8999286131030644,BW,BE
2015-01-01,0.8594430835034552,1.9085967988287051,BW,BE
2015-04-01,0.8604547143489916,1.914263075628768,BW,BE
2015-07-01,0.8607983482532189,1.9139365535439734,BW,BE
2015-10-01,0.8628028147986427,1.9275125898887933,BW,BE
2016-01-01,0.8639594583914585,1.9333273624997134,BW,BE
2016-04-01,0.865524006016372,1.9442425563923906,BW,BE
2016-07-01,0.8666934142987807,1.9489198781657815,BW,BE
2016-10-01,0.8677508521702619,1.9559346341692376,BW,BE
2017-01-01,0.8686445737063774,1.9606550604841946,BW,BE
2017-04-01,0.8696309498094302,1.9670105464977987,BW,BE
2017-07-01,0.8697690063478735,1.9660141874902646,BW,BE
2017-10-01,0.8698661562127342,1.9654935267790312,BW,BE
2018-01-01,0.8693897515454474,1.9575032882537056,BW,BE
2018-04-01,0.8691477073245355,1.9535675560717225,BW,BE
2018-07-01,0.8684576141636579,1.943863453319561,BW,BE
2018-10-01,0.8686824685445957,1.9457280663440322,BW,BE
2019-01-01,0.869723805885412,1.9535368850594295,BW,BE
2019-04-01,0.8696428759301505,1.9522178905391747,BW,BE
2019-07-01,0.8697997585335002,1.951760265048224,BW,BE
2019-10-01,0.8697016252854817,1.9498806793730075,BW,BE
2020-01-01,0.8698392490030855,1.949725469756535,BW,BE
2020-04-01,0.8698173190459357,1.9471962224979114,BW,BE
2020-07-01,0.8699340345083704,1.9468366663153276,BW,BE
2020-10-01,0.870228949941543,1.9481635154988335,BW,BE
2021-01-01,0.8699228756124997,1.946733230032188,BW,BE
2021-04-01,0.8696627717116717,1.943749841813916,BW,BE
2021-07-01,0.8694682722529514,1.9417757494364163,BW,BE
2021-10-01,0.8694343030607544,1.941039235326247,BW,BE
2022-01-01,0.8695359705908231,1.9422831202695108,BW,BE
2022-04-01,0.8693021195306124,1.943451354052672,BW,BE
2022-07-01,0.8696191632074138,1.9430978550538294,BW,BE
2022-10-01,0.8698138368151656,1.94491506965841,BW,BE
2023-01-01,0.8696687263465223,1.94360419850661,BW,BE
2023-04-01,0.8696663142154555,1.9435799870346437,BW,BE
2023-07-01,0.8697603920083116,1.9462094183135334,BW,BE
2023-10-01,0.8698344186671347,1.9463508000240195,BW,BE
2024-01-01,0.8695018501896251,1.9426772757503759,BW,BE
2024-04-01,0.8695127686372076,1.9425290759693468,BW,BE
2024-07-01,0.8694622309299125,1.9426303714920514,BW,BE
2010-07-01,0.6504102323798164,0.8364864055663589,BW,CY
2010-10-01,0.6522378995419322,0.8492651204947651,BW,CY
2011-01-01,0.6578077142545461,0.8644760924150607,BW,CY
2011-04-01,0.6638773049091559,0.8926563578568775,BW,CY
2011-07-01,0.668053231815172,0.914477531955337,BW,CY
2011-10-01,0.6722365477498558,0.9309387571508733,BW,CY
2012-01-01,0.6790418325668596,0.9543979410683999,BW,CY
2012-04-01,0.683539428761762,0.970955220940194,BW,CY
2012-07-01,0.6894429480976536,0.9899375336874832,BW,CY
2012-10-01,0.6927964505187116,1.00278001789906,BW,CY
2013-01-01,0.6966559777365715,1.0158766057286852,BW,CY
2013-04-01,0.7033655707916713,1.0367480495260453,BW,CY
2013-07-01,0.7067481738342927,1.0470323766262908,BW,CY
2013-10-01,0.707687576081286,1.053836141111781,BW,CY
2014-01-01,0.6996178668299571,1.0297405842727703,BW,CY
2014-04-01,0.703198850798054,1.0433696243032642,BW,CY
2014-07-01,0.6994618314597861,1.0211793317634381,BW,CY
2014-10-01,0.6929154927369094,0.9903730234404394,BW,CY
2015-01-01,0.6922832117337951,0.9859747332868365,BW,CY
2015-04-01,0.6891964860967653,0.9685939190390939,BW,CY
