REF_AREA,beta1,beta2,R2,s1,s2
AT,0.3573950814412292,-0.025984047899279678,0.2037605331003761,**,
BE,0.28180407893103177,-0.03468827584961872,0.11707001517665701,.,
CY,0.1688143918628401,0.025194310567815827,0.045168476348415455,,
DE,0.7562612108435705,0.020461735294217243,0.21517831437324442,**,
EE,0.5788203111346514,0.07937378938166068,0.18913821788980173,*,
ES,0.6957269277289421,-0.040604377428419984,0.596045692643243,***,
FI,0.6493605032100104,0.005814353020944376,0.27662367836456725,***,
FR,0.293496219412593,-0.051243443700406816,0.2574693185190379,*,*
GR,0.26073414742922135,-0.003366837177498321,0.2482628893769736,***,
HR,0.22039463972778717,-0.021674011346136408,0.1829046086625072,,
HU,0.4329318258687248,-0.013402643858701725,0.32970933080478415,**,
I9,0.28335800072802503,-0.027886651502977314,0.22570331722661693,**,.
IE,2.1877069088815926,-0.002621891223089813,0.13706377337810252,*,
IT,0.2570438162951749,-0.051113732295962076,0.23442277864466957,.,*
LT,0.05557346413725224,0.037056852064314506,0.07780511881725398,,
LU,0.40005909984050714,0.020027805908126254,0.17585067320609393,**,
LV,-0.8560494230973028,0.015956619105748637,0.6748956122047362,***,
MT,0.1915756466014221,-0.042677842366532624,0.19681486240385965,**,
NL,-2.71277613970694,-0.4706189616711865,0.25450174710511253,.,*
PT,0.6812397262649141,-0.025299329812109903,0.5405972462441329,***,
SI,0.22708088833673665,-0.02128459568941965,0.4118956914675112,***,
SK,0.16169512910825848,-0.009775206097703486,0.0574572628222276,,
