REF_AREA,beta1,beta2,R2,s1,s2
AT,0.11441573066104373,-0.020499779541059367,0.18227663562302354,*,
BE,0.10670772788597324,-0.016241313608837342,0.09819923444299748,,
CY,-0.07407927838157728,-6.786027725818214e-4,0.09028469859785705,*,
DE,0.11461363901349897,-0.02223493552665612,0.08472168379657552,,
EE,0.12054867107673747,-0.0018519731995625252,0.14668600965333214,*,
ES,0.08549382753470958,-0.030675294474910925,0.2663179591404392,*,*
FI,0.0011927294127124398,-0.031632643629023176,0.17102359604373857,,**
FR,0.1278890468704252,-0.033959786935677555,0.29415857222514036,*,**
GR,-0.02425750378636809,-0.0321900217099862,0.1550441543524712,,**
HR,0.118213503451299,0.022935945303357862,0.02997269361861956,,
HU,0.07558929152284331,-0.016827000845835573,0.026848131206920638,,
I9,0.08528664061155859,-0.02327950212631139,0.26233822654131994,.,**
IE,0.022336158504467872,-0.015866012451287968,0.029518294399641695,,
IT,0.032257650298054566,-0.06555876609565146,0.2709850087245808,,**
LT,-0.09492727760088394,0.045613408124804765,0.1914041447865408,,.
LU,-0.007466320085530202,-0.015731169959270225,0.06765465767385641,,.
LV,-0.046362911101982915,0.024221116897929735,0.07776876313402549,,
MT,-0.009650883844915225,-0.003199975998029303,0.003419172570475669,,
NL,-0.1120713865071161,-0.020625122674714332,0.1041657441075613,,
PT,0.0017045546370120393,-0.03566178993494882,0.10415283750968748,,*
SI,0.09374139910541114,-0.005240102721779493,0.17936814989726857,**,
SK,-0.056734235021970225,-0.013417543810840725,0.03658122401850319,,
