REF_AREA,TIME_PERIOD,DWA_GRP,UNIT_MEASURE,BW,FW,DEP,HW,HW_NET,TW,DEBT,TW_NET
AT,2010-10-01,B50,EUR,2527.87,8429.16,25477.87,28856.92,-1061.75,65291.81999999999,-41872.38,23419.439999999995
AT,2011-01-01,B50,EUR,2542.4,8295.470000000001,26000.98,28470.12,-529.6900000000023,65308.97,-40249.97,25059
AT,2011-04-01,B50,EUR,2578.01,8362.24,26210.57,30540.86,-1374.4599999999991,67691.68,-43770.770000000004,23920.90999999999
AT,2011-07-01,B50,EUR,2613.41,8294.92,26770.42,30501.88,-761.2299999999996,68180.63,-42725.41,25455.22
AT,2011-10-01,B50,EUR,2559.16,8236.09,27155.28,31056.48,-753.5499999999993,69007.01,-42980.11,26026.899999999994
AT,2012-01-01,B50,EUR,2247.93,8383.57,28192.77,30301.28,706.1699999999983,69125.55,-40239.99,28885.560000000005
AT,2012-04-01,B50,EUR,2317.9900000000002,8366.06,28688.94,31203.47,752.8300000000017,70576.46,-41174.56,29401.899999999994
AT,2012-07-01,B50,EUR,2269.4300000000003,8462.45,28676.49,31735.54,930.0800000000017,71143.91,-41655.63,29488.280000000006
AT,2012-10-01,B50,EUR,2194.89,8468.42,29047.2,32846.31,804.2099999999991,72556.81999999999,-42809.93,29746.890000000007
AT,2013-01-01,B50,EUR,2147.04,8500.08,29650.82,33168.08,1479.4600000000028,73466.01999999999,-42463.53,31002.490000000005
AT,2013-04-01,B50,EUR,2105.67,8470.41,29950.84,32801.43,2167.4500000000007,73328.35,-41471.05,31857.300000000003
AT,2013-07-01,B50,EUR,2059.2599999999998,8554.699999999999,30359.45,33530.37,2407.590000000004,74503.78,-42108.79,32394.989999999998
AT,2013-10-01,B50,EUR,1991.84,8602.36,30907.77,34747.34,2450.4599999999955,76249.31,-43106.4,33142.909999999996
AT,2014-01-01,B50,EUR,1982.81,8795.779999999999,31464.7,33622.8,3469.670000000002,75866.09,-40699.33,35166.759999999995
AT,2014-04-01,B50,EUR,1704.68,8971.15,32135.03,33554.52,4609.999999999996,76365.38,-39536.06,36829.32000000001
AT,2014-07-01,B50,EUR,1637.25,9018.73,32323.67,34289.34,4646.109999999997,77268.98999999999,-40373.96,36895.02999999999
AT,2014-10-01,B50,EUR,1604.3,9166.43,33275.77,35368.4,4789.170000000002,79414.9,-41203.13,38211.77
AT,2015-01-01,B50,EUR,1958.69,9408.720000000001,33618.89,36368.02,4455.879999999997,81354.32,-42479.619999999995,38874.70000000001
AT,2015-04-01,B50,EUR,1955.88,9403.71,33617.3,36545.93,4211.119999999999,81522.82,-42653.53,38869.29000000001
AT,2015-07-01,B50,EUR,1949.71,9529.89,33559.73,36416.49,4233.2199999999975,81455.82,-42449.43,39006.39000000001
AT,2015-10-01,B50,EUR,1809.47,9723.93,34392.66,36554.1,4642.889999999999,82480.16,-41734.28,40745.880000000005
AT,2016-01-01,B50,EUR,1878.35,9844.76,34753.76,35990.09,5184.269999999997,82466.95999999999,-40415.39,42051.56999999999
AT,2016-04-01,B50,EUR,1922.3799999999999,9942.41,35055.95,36268.83,5349.420000000002,83189.57,-40418.97,42770.600000000006
AT,2016-07-01,B50,EUR,2017.6599999999999,10047.029999999999,35114.07,37454.53,4836.189999999999,84633.29000000001,-42172.53,42460.759999999995
AT,2016-10-01,B50,EUR,2124.91,10894.75,35584.66,38047.09,5315.509999999995,86651.41,-42523.32,44128.090000000004
AT,2017-01-01,B50,EUR,2086.92,11027.3,35845.49,38059.86,5573.9000000000015,87019.57,-42097.66,44921.91
AT,2017-04-01,B50,EUR,2163.74,10980.93,36715.8,37217.29,6079.580000000002,87077.76000000001,-40594.05,46483.71000000001
AT,2017-07-01,B50,EUR,2180.31,10850.21,36745.6,37304.6,6331.2199999999975,87080.72,-40745.520000000004,46335.2
AT,2017-10-01,B50,EUR,2000.42,10810.93,37037.63,39004.13,5293.659999999996,88853.10999999999,-42286.46,46566.64999999999
AT,2018-01-01,B50,EUR,2090.59,10737.99,37800.43,38294.5,6125.66,88923.51000000001,-40598.68,48324.83000000001
AT,2018-04-01,B50,EUR,2096.2,10690.66,38583.98,39330.41,6237.570000000007,90701.25,-41519.49,49181.76
AT,2018-07-01,B50,EUR,2128.48,10520.02,38234.77,39372.2,6479.259999999995,90255.47,-41529.810000000005,48725.659999999996
AT,2018-10-01,B50,EUR,2148.87,10281.98,39270.83,39990.02,6505.169999999998,91691.7,-42132.42,49559.28
AT,2019-01-01,B50,EUR,2166.2000000000003,10541.04,39407.95,39902.09,7203.189999999995,92017.28,-41429.95,50587.33
AT,2019-04-01,B50,EUR,2179.09,10714.779999999999,40228.27,40586.67,7648.8399999999965,93708.81,-41725.92,51982.89
AT,2019-07-01,B50,EUR,2246.6,10868.97,40235.59,41429.41,7415.4000000000015,94780.57,-42902.32,51878.25000000001
AT,2019-10-01,B50,EUR,2262.55,10588,41274.2,41918.97,7730.959999999999,96043.72,-42828.29,53215.43
