REF_AREA,TIME_PERIOD,GDP_PC
AT,2000-01-01,85.394
AT,2000-04-01,89.566
AT,2000-07-01,90.35
AT,2000-10-01,93.096
AT,2001-01-01,87.971
AT,2001-04-01,90.635
AT,2001-07-01,90.406
AT,2001-10-01,92.728
AT,2002-01-01,88.638
AT,2002-04-01,91.966
AT,2002-07-01,91.663
AT,2002-10-01,93.034
AT,2003-01-01,88.134
AT,2003-04-01,92.22
AT,2003-07-01,92.63
AT,2003-10-01,94.837
AT,2004-01-01,89.405
AT,2004-04-01,94.142
AT,2004-07-01,94.69
AT,2004-10-01,96.649
AT,2005-01-01,91.061
AT,2005-04-01,96.225
AT,2005-07-01,95.038
AT,2005-10-01,98.661
AT,2006-01-01,94.457
AT,2006-04-01,97.803
AT,2006-07-01,97.397
AT,2006-10-01,101.761
AT,2007-01-01,97.668
AT,2007-04-01,101.688
AT,2007-07-01,101.137
AT,2007-10-01,104.369
AT,2008-01-01,100.231
AT,2008-04-01,104.292
AT,2008-07-01,102.11
AT,2008-10-01,102.819
AT,2009-01-01,95.396
AT,2009-04-01,98.172
AT,2009-07-01,98.338
AT,2009-10-01,101.914
AT,2010-01-01,95.026
AT,2010-04-01,99.488
AT,2010-07-01,100.582
AT,2010-10-01,104.903
AT,2011-01-01,99.476
AT,2011-04-01,102.432
AT,2011-07-01,102.408
AT,2011-10-01,106.047
AT,2012-01-01,100.746
AT,2012-04-01,102.375
AT,2012-07-01,102.448
AT,2012-10-01,105.521
AT,2013-01-01,99.04
AT,2013-04-01,101.327
AT,2013-07-01,101.599
AT,2013-10-01,105.622
AT,2014-01-01,99.044
AT,2014-04-01,101.391
AT,2014-07-01,101.293
AT,2014-10-01,105.729
AT,2015-01-01,99.457
AT,2015-04-01,101.552
AT,2015-07-01,101.742
AT,2015-10-01,105.914
AT,2016-01-01,100.498
AT,2016-04-01,102.619
AT,2016-07-01,101.988
AT,2016-10-01,106.959
AT,2017-01-01,102.699
AT,2017-04-01,103.82
AT,2017-07-01,103.595
AT,2017-10-01,108.671
AT,2018-01-01,104.162
AT,2018-04-01,105.967
AT,2018-07-01,105.39
AT,2018-10-01,111.6
AT,2019-01-01,106.908
AT,2019-04-01,107.436
AT,2019-07-01,106.947
AT,2019-10-01,111.374
AT,2020-01-01,103.51
AT,2020-04-01,92.368
