TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2010-10-01,0.6257445543484136,0.7331143983018922,F2M,AT
2011-01-01,0.6230960757780786,0.7269978921811368,F2M,AT
2011-04-01,0.6223467581916662,0.7259075882156134,F2M,AT
2011-07-01,0.6196166613127744,0.7212955028017872,F2M,AT
2011-10-01,0.6176689728579031,0.7171572918465112,F2M,AT
2012-01-01,0.6145334390695216,0.7107715490672912,F2M,AT
2012-04-01,0.6131054728454602,0.7075847367202792,F2M,AT
2012-07-01,0.6105279965935704,0.7019174364898217,F2M,AT
2012-10-01,0.6098409019070699,0.7009376170291153,F2M,AT
2013-01-01,0.6079323387266233,0.697337553845003,F2M,AT
2013-04-01,0.6056999206139191,0.6927081757393495,F2M,AT
2013-07-01,0.604001696083108,0.6890938918036912,F2M,AT
2013-10-01,0.6027520050322377,0.6866757109505323,F2M,AT
2014-01-01,0.6001263689974726,0.6821599699327203,F2M,AT
2014-04-01,0.5969068894411251,0.674009345795768,F2M,AT
2014-07-01,0.5947104617681561,0.6692083642805636,F2M,AT
2014-10-01,0.5939338713876595,0.6693182839714641,F2M,AT
2015-01-01,0.5944663212435233,0.6700225110485467,F2M,AT
2015-04-01,0.595883877656817,0.6730005831330989,F2M,AT
2015-07-01,0.5964887567172745,0.6741909826807333,F2M,AT
2015-10-01,0.597699621715571,0.6766745625845267,F2M,AT
2016-01-01,0.5979218789890222,0.6768428803768642,F2M,AT
2016-04-01,0.5987042024493114,0.6784880500682932,F2M,AT
2016-07-01,0.6004979127898205,0.6840686504224475,F2M,AT
2016-10-01,0.6018257384592549,0.6863832890187973,F2M,AT
2017-01-01,0.6028122374338951,0.6880182687206154,F2M,AT
2017-04-01,0.605296981499513,0.6911180988581729,F2M,AT
2017-07-01,0.6068407412840449,0.6935707477163312,F2M,AT
2017-10-01,0.6090944104761447,0.6982462091492803,F2M,AT
2018-01-01,0.6105845332316201,0.7002698707128258,F2M,AT
2018-04-01,0.6133305435439624,0.7058284682636965,F2M,AT
2018-07-01,0.6135884216998534,0.7056813738810707,F2M,AT
2018-10-01,0.617012523996709,0.7129783398586356,F2M,AT
2019-01-01,0.6177971916022504,0.7138000185796954,F2M,AT
2019-04-01,0.6195111031518625,0.7173233170194268,F2M,AT
2019-07-01,0.6210457984510006,0.7209236563895863,F2M,AT
2019-10-01,0.6234867248946248,0.7261649640287605,F2M,AT
2020-01-01,0.6244156526306575,0.7272250833489616,F2M,AT
2020-04-01,0.6261332651670075,0.7303935173436554,F2M,AT
2020-07-01,0.6268528737583836,0.7320383214834436,F2M,AT
2020-10-01,0.6291272002926949,0.7366657189125946,F2M,AT
2021-01-01,0.6299217731421121,0.7394432205375838,F2M,AT
2021-04-01,0.6314415890651852,0.7420069658306072,F2M,AT
2021-07-01,0.632073360770368,0.7441443027534098,F2M,AT
2021-10-01,0.6312063653028589,0.7421549793594646,F2M,AT
2022-01-01,0.6289816611874679,0.7360868972550778,F2M,AT
2022-04-01,0.6283689327970634,0.7340111397602554,F2M,AT
2022-07-01,0.627981137180627,0.7329522935438558,F2M,AT
2022-10-01,0.6282073001694133,0.7332762727174598,F2M,AT
2023-01-01,0.6277704228642629,0.7318967698408431,F2M,AT
2023-04-01,0.6288310091813607,0.7354740055835939,F2M,AT
2023-07-01,0.6282108848803901,0.7329217261955315,F2M,AT
2023-10-01,0.6293638715568406,0.7364826454777488,F2M,AT
2024-01-01,0.6304981044255096,0.7389618565341731,F2M,AT
2024-04-01,0.6304644859466082,0.738155224883621,F2M,AT
2024-07-01,0.6304218877437533,0.7379788909400117,F2M,AT
2010-07-01,0.7004802273729602,0.9618908064004867,F2M,BE
2010-10-01,0.6977618140057665,0.9511699685752397,F2M,BE
2011-01-01,0.6969333972208912,0.9472406051672754,F2M,BE
2011-04-01,0.6956840620592384,0.9423292363934943,F2M,BE
2011-07-01,0.6939870882616277,0.9363377873812464,F2M,BE
2011-10-01,0.6921653971708379,0.9293859418844275,F2M,BE
2012-01-01,0.691580113557679,0.9269709741714571,F2M,BE
2012-04-01,0.6907841117728718,0.9244395613373994,F2M,BE
2012-07-01,0.6894109742441209,0.9194319593613445,F2M,BE
2012-10-01,0.6875573777797586,0.9126495784417538,F2M,BE
2013-01-01,0.6860450917971306,0.9076757698063248,F2M,BE
2013-04-01,0.6854873738449091,0.906117408887208,F2M,BE
2013-07-01,0.6834077253218884,0.8975439972147621,F2M,BE
2013-10-01,0.682893732507845,0.8960531808270343,F2M,BE
2014-01-01,0.681221052631579,0.8901457354399345,F2M,BE
2014-04-01,0.6796380471380472,0.8836840042366428,F2M,BE
2014-07-01,0.6772172290995422,0.8759274258191327,F2M,BE
2014-10-01,0.6749803369623713,0.8675327861950185,F2M,BE
2015-01-01,0.672487509214514,0.8591370441561502,F2M,BE
2015-04-01,0.6686923450396505,0.8476058157433479,F2M,BE
2015-07-01,0.6649620587264929,0.8371625961856524,F2M,BE
2015-10-01,0.6607432348173089,0.8232292968788012,F2M,BE
2016-01-01,0.6572573979170111,0.813698637707755,F2M,BE
2016-04-01,0.6532793884438661,0.8023924731596667,F2M,BE
2016-07-01,0.6493107975057434,0.7907848943846333,F2M,BE
2016-10-01,0.6469082379585069,0.7842044847258463,F2M,BE
2017-01-01,0.6435088570735259,0.7749127079860769,F2M,BE
2017-04-01,0.6403934767800616,0.766088409402337,F2M,BE
2017-07-01,0.6398369389731999,0.764119396078006,F2M,BE
2017-10-01,0.6393648508119351,0.7623075661503824,F2M,BE
2018-01-01,0.640002382748898,0.7642673950104161,F2M,BE
2018-04-01,0.6412877608221739,0.7664106569181361,F2M,BE
2018-07-01,0.6412846885309529,0.7673962302330294,F2M,BE
2018-10-01,0.6419575893706932,0.768546737062487,F2M,BE
2019-01-01,0.6417296326774894,0.7667572949376863,F2M,BE
2019-04-01,0.6419309889626343,0.7674934402848269,F2M,BE
2019-07-01,0.6416614385356312,0.7668453466117595,F2M,BE
2019-10-01,0.6418735686502599,0.7675529497323959,F2M,BE
2020-01-01,0.6414752554162741,0.7671139414083461,F2M,BE
2020-04-01,0.6420407591568037,0.769197977719742,F2M,BE
2020-07-01,0.6415249472944484,0.7680428827002094,F2M,BE
2020-10-01,0.6412926702477908,0.7671668615164291,F2M,BE
2021-01-01,0.6406062270433559,0.7653367167223222,F2M,BE
2021-04-01,0.6408209231182976,0.7660566556252381,F2M,BE
2021-07-01,0.6406078556763488,0.7650086473417552,F2M,BE
2021-10-01,0.6401661866454795,0.7625994171192386,F2M,BE
2022-01-01,0.640722891566265,0.7650925294433962,F2M,BE
2022-04-01,0.6414567644767593,0.7672156592245996,F2M,BE
2022-07-01,0.6397417503586801,0.763707931889483,F2M,BE
2022-10-01,0.6401953760989905,0.7639363261352233,F2M,BE
2023-01-01,0.638332183794791,0.7589637186626917,F2M,BE
2023-04-01,0.6384031158714703,0.7590428369898367,F2M,BE
2023-07-01,0.635147766323024,0.7503202043334638,F2M,BE
2023-10-01,0.6352967272975463,0.7500828773806792,F2M,BE
2024-01-01,0.6354891304347826,0.7493468359073326,F2M,BE
2024-04-01,0.6373321396598031,0.7535309579121774,F2M,BE
2024-07-01,0.6372022745735175,0.7533088020434661,F2M,BE
2010-07-01,0.5934255330294934,0.6505639992125127,F2M,CY
2010-10-01,0.5897609852833734,0.6413476855749201,F2M,CY
2011-01-01,0.5878681771369723,0.6369647323120787,F2M,CY
2011-04-01,0.5832174462705436,0.6258724716748522,F2M,CY
2011-07-01,0.5796240208877285,0.6169489428128946,F2M,CY
2011-10-01,0.5769318891897521,0.608943281732945,F2M,CY
2012-01-01,0.5729483282674772,0.5992410542001084,F2M,CY
