JAHR,REF_AREA,OWNER,DWA_GRP
2014,AT,47.69,ALL
2014,BE,70.33,ALL
2014,CY,73.57000000000001,ALL
2014,CZ,NA,ALL
2014,DE,44.38,ALL
2014,EE,76.49000000000001,ALL
2014,ES,80.39,ALL
2014,FI,67.65,ALL
2014,FR,58.650000000000006,ALL
2014,GR,72.18,ALL
2014,HR,NA,ALL
2014,HU,84.22,ALL
2014,I9,60.95,ALL
2014,IE,70.49,ALL
2014,IT,68.26,ALL
2014,LT,NA,ALL
2014,LU,67.65,ALL
2014,LV,76.06,ALL
2014,MT,80.30000000000001,ALL
2014,NL,57.50000000000001,ALL
2014,PL,77.42,ALL
2014,PT,74.71000000000001,ALL
2014,SI,73.74000000000001,ALL
2014,SK,85.38000000000001,ALL
2021,AT,47.61,ALL
2021,BE,72.45,ALL
2021,CY,71.18,ALL
2021,CZ,75.76,ALL
2021,DE,44.54,ALL
2021,EE,78.87,ALL
2021,ES,73.94,ALL
2021,FI,65.28,ALL
2021,FR,57.50000000000001,ALL
2021,GR,72.07000000000001,ALL
2021,HR,79.33,ALL
2021,HU,85.80000000000001,ALL
2021,I9,61.68,ALL
2021,IE,69.61,ALL
2021,IT,77.55000000000001,ALL
2021,LT,93.97000000000001,ALL
2021,LU,65.60000000000001,ALL
2021,LV,77.93,ALL
2021,MT,79.01,ALL
2021,NL,56.93000000000001,ALL
2021,PL,NA,ALL
2021,PT,70.04,ALL
2021,SI,77.41000000000001,ALL
2021,SK,89.79,ALL
2014,I9,9,D0D2
2014,BE,4.9,D0D2
2014,CZ,NA,D0D2
2014,DE,6.4,D0D2
2014,EE,22,D0D2
2014,IE,44.3,D0D2
2014,GR,11.4,D0D2
2014,ES,29.2,D0D2
2014,FR,2.3,D0D2
2014,HR,NA,D0D2
2014,IT,1.3,D0D2
2014,CY,25.3,D0D2
2014,LV,21.7,D0D2
2014,LT,NA,D0D2
2014,LU,4.8,D0D2
2014,HU,42.5,D0D2
2014,MT,15.1,D0D2
2014,NL,26.4,D0D2
