   REF_AREA   beta1      R2 significance      
 1 IE        2.22   0.136   True        
 2 ES        0.757  0.559   True        
 3 EE        0.685  0.157   True        
 4 PT        0.685  0.476   True        
 5 FR        0.497  0.301   True        
 6 IT        0.398  0.195   True        
 7 I9        0.361  0.184   True        
 8 AT        0.358  0.199   True        
 9 HU        0.345  0.321   True        
10 BE        0.315  0.0970  True        
11 GR        0.292  0.266   True        
12 NL        0.265  0.00268 F           
13 LU        0.241  0.104   True        
14 MT        0.222  0.136   True        
15 DE        0.189  0.0413  F           
16 SI        0.183  0.217   True        
17 CY        0.0985 0.0138  F           
18 FI        0.0872 0.00648 F           
19 HR        0.0768 0.00638 F           
20 SK        0.0435 0.00664 F           
21 LT        0.0250 0.00154 F           
22 LV       -0.386  0.209   True 
